All,Vše
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","Požadované množství ""%1"" není dostupné, tak zbývající %2 doobjednáme."
"You can buy %1 only in quantities of %2 at a time.","Najednou lze koupit %1 pouze v množství %2."
"You can buy this product only in quantities of %1 at a time.","Najednou lze koupit tento produkt pouze v množství %1."
"Stock Status","Stav zásob"
"%1 is available to buy in increments of %2","%1 lze zakoupit pouze v násobcích %2"
"Only %1 left","Posledních %1"
"Product availability","Dostupnost produktu"
"Inventory Section","Sekce zásoby"
"Stock Options","Nastavení zásob"
"Decrease Stock When Order is Placed","Při objednávce snížit zásobu"
"Set Items' Status to be In Stock When Order is Cancelled","Při zrušení objednávky nastavit stav Skladem"
"Display Out of Stock Products","Zobrazit produkty, které nejsou skladem"
"Products will still be shown by direct product URLs.","Pod přímou URL se budou produkty stále zobrazovat."
"Only X left Threshold","Posledních x ks skladem"
"Display Products Availability in Stock on Storefront","Zobrazit dostupnost produktů v obchodě."
"Product Stock Options","Nastavení zásoby produktu"
"Please note that these settings apply to individual items in the cart, not to the entire cart.","Vemte prosím na vědomí, že tato nastavení se vztahují na jednotlivé produkty, ne na celý košík."
"Automatically Return Credit Memo Item to Stock","Při dobropisu navýšit zásobu"
Stock,Zásoba
"Index stock","Index zásob"
"""model"" value should be specified","Hodnota modelu by měla být specifikována"
"New Permission","Nové oprávnění"
"You already have a permission with this scope.","V tomto rozsahu již oprávnění máte."
(Allow),(Povolit)
(Deny),(Zakázat)
"Category Permissions","Oprávnění kategorie"
"Browsing Category","Procházení kategorie"
"Display Product Prices","Zobrazit ceny produktů"
"No, Redirect to Landing Page","Ne, přesměrovat na vstupní stránku"
"Permission with the same scope","Oprávnění se stejným rozsahem"
"You may need more permissions to access this category.","K přístupu do kategorie potřebujete vyšší oprávnění."
"You may need more permissions to access this product.","K přístupu k produktu potřebujete vyšší oprávnění."
"You cannot add ""%1"" to the cart.","""%1"" nelze přidat do košíku."
"Permissions do not depend on store views.","Oprávnění nejsou závislá na zobrazeních obchodu."
"All Customer Groups","Všechny skupiny zákazníků"
Allow,Povolit
Deny,Zakázat
"Use parent","Použít nadřazený"
"Category Permissions Section","Sekce oprávnění kategorie"
"Landing Page","Vstupní stránka"
"Allow Adding to Cart","Povolit přidávání do košíku"
"Disallow Catalog Search By","Zakázat vyhledávání v katalogu"
"Catalog Category Permissions","Oprávnění k kategorii katalogu"
"Indexed permissions for categories","Indexovaná oprávnění kategorií"
"Catalog Product Permissions","Oprávnění k produktu katalogu"
"Indexed permissions for products","Indexovaná oprávnění produktů"
"Delete Rule","Odstranit pravidlo"
"Save and Apply","Uložit a spustit"
"Catalog Price Rule","Cenová pravidla katalogu"
"Add New Rule","Přidat nové pravidlo"
"Apply Rules","Spustit pravidla"
Conditions,Podmínky
"Conditions (don't add conditions if rule is applied to all products)","Filtr produktů (pro platnost na všechny produkty filtr nenastavujte)"
Promotions,Pravidla
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","Byla nalezena změněná pravidla, která ale nebyla spuštěna. Aby se pravidla v katalogu projevila, klikněte na tlačítko Spustit pravidla."
"We can't apply the rules.","Pravidla nelze spustit."
"You deleted the rule.","Pravidlo bylo odstraněno."
"We can't delete this rule right now. Please review the log and try again.","Při odstranění pravidla nastala chyba. Podrobnosti naleznete v protokolu chyb."
"We can't find a rule to delete.","Pravidlo k odstranění nelze najít."
"New Catalog Price Rule","Nové cenové pravidlo katalogu"
"Edit Rule","Upravit pravidlo"
"New Rule","Nové pravidlo"
"You saved the rule.","Pravidlo bylo uloženo."
"Something went wrong while saving the rule data. Please review the error log.","Při ukládání pravidla nastala chyba. Podrobnosti naleznete v protokolu chyb."
"Catalog rule indexing failed. See details in exception log.","Chyba v indexaci katalogových pravidel. Detaily naleznete v logu vyjímek."
"Percentage discount should be between 0 and 100.","Hodnota procentuální slevy může být od 0 do 100."
"Discount value should be 0 or greater.","Hodnota slevy musí být 0 nebo vyšší."
"Unknown action.","Neznámá akce"
"Update the Product","Upravit produkt"
"Rule price","Pravidlo ceny"
"To Fixed Value","Nastavit na pevnou hodnotu"
"To Percentage","Nastavit na procentuální hodnotu"
"By Fixed value","Snížit o pevnou hodnotu"
"By Percentage","Snížit o procentuální hodnotu"
"Update product's %1 %2: %3","Aktualizace produktu %1 %2: %3"
"Apply as percentage of original","Nastavit na procentuální hodnotu"
"Apply as fixed amount","Nastavit na pevnou hodnotu"
"Adjust final price to this percentage","Nastavit na procentuální hodnotu"
"Adjust final price to discount value","Nastavit na pevnou hodnotu"
"Conditions Combination","Kombinace podmínek"
"Product Attribute","Atribut produktu"
"Updated rules applied.","Upravená pravidla byla spuštěna."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Cenové pravidlo %1 založené na atributu %2 bylo vypnuto."
"Catalog Rule Product","Produkt cenového pravidla"
"Indexed rule/product association","Index vztahů pravidel a produktů"
"Catalog Product Rule","Pravidlo produktu"
"Indexed product/rule association","Index vztahů produktů a pravidel"
"Rule Information","Nastavení pravidla"
"Rule Name","Název pravidla"
Priority,Priorita
"Discard subsequent rules","Zrušit následná pravidla"
"Scheduled Changes","Plánované změny"
"Update Information","Informace o aktualizaci"
"Schedule Update","Naplánovat aktualizaci"
"Update Name","Název aktualizace"
"Save as a New Update","Uložit jako novou aktualizaci"
"Move to Another Update","Přesun do další aktualizace"
"Delete the Update","Odstranit aktualizaci"
"End Time","Čas ukončení"
"Catalog Price Rules","Cenová pravidla katalogu"
"Remove Catalog Price Rule from Campaign","Odebrat cenová pravidla katalogu z kampaně"
"Catalog Advanced Search","Rozšířené hledání v katalogu"
"Advanced Search Results","Výsledky rozšířeného hledání"
"Search Weight","Priorita hledání"
Relevance,Význam
"Search results for: '%1'","Výsledky hledání pro: '%1'"
"Minimum Search query length is %1","Minimální délka hledaného výrazu je %1"
"%1 and greater","%1 a více"
"up to %1","až do %1"
"Search Settings","Hodnoty parametrů hledaných produktů"
"Please enter a valid price range.","Zadejte platný cenový rozsah."
"Advanced Search","Rozšířené hledání"
"<strong>%1 item</strong> were found using the following search criteria","Byl nalezen %1 produkt vyhovující zadaným kritériím"
"<strong>%1 items</strong> were found using the following search criteria","Produktů vyhovujících zadaným kritériím bylo nalezeno: <strong>%1</strong>"
"We can't find any items matching these search criteria.","Položky odpovídající hledaným kritériím nelze najít."
"Modify your search.","Upravte hledaný text."
"Don't see what you're looking for?","Nebylo nalezeno to, co hledáte?"
"Your search returned no results.","Nebyly nalezeny žádné výsledky."
"Catalog Search","Hledání v katalogu"
"Popular Search Terms","Nejvyhledávanější výrazy a hodnoty"
"Minimal Query Length","Minimální délka hledaného výrazu"
"Maximum Query Length","Maximální délka hledaného výrazu"
"Rebuild Catalog product fulltext search index","Obnovení indexu fultextového hledání v katalogu"
"The requested price is not found.","Nebyla nalezena požadovaná cena."
"Update %1 from %2 to %3.","Aktualizace %1 od %2 do %3."
View/Edit,"Zobrazit / upravit"
Preview,Náhled
"Set Product as New","Nastavení produktu jako nový"
"Store View:","Zobrazení obchodu:"
"Sort Products By","Řadit produkty podle"
"Default Product Sorting","Výchozí řazení produktů"
"Use Parent Category Settings","Použít nastavení nadřazené kategorie"
"New Theme","Nové téma"
"The category will be removed from the update and all scheduled changes will be lost.","Kategorie bude odebrána z aktualizace a všechny plánované změny budou ztraceny."
"Remove Product from Update","Odstranit produkt z aktualizace"
"The product will be removed from the update and all scheduled changes will be lost.","Produkt bude odstraněn z aktualizace a všechny naplánované změny budou ztraceny."
"Currently Active","Právě aktivní"
Path,Cesta
"Create Permanent Redirect for old URL","Pro starou URL vytvořit trvalé přesměrování"
"Category URL Suffix","Přípona URL kategorie"
"You need to refresh the cache.","Je třeba obnovit mezipaměť."
"Product URL Suffix","Přípona URL produktu"
"Use Categories Path for Product URLs","V URL produktů použít klíč kategorie"
"Create Permanent Redirect for URLs if URL Key Changed","Při změně URL klíče vytvořit pro URL trvalé přesměrování"
"Please choose a condition to add.","Zvolte podmínku prosím."
"Catalog Products List","Seznam produktů"
"List of Products","Seznam produktů"
"Products Grid Template","Mřížka produktů"
"Invalid method: %1","Chybný způsob: %1"
"My Cart (1 item)","Můj košík (1)"
"My Cart (%1 items)","Můj košík (%1)"
"My Cart","Můj košík"
"For delivery questions.","Pro dotazy týkající se doručení."
"Customer is already registered","Zákazník je již registrován"
"Your session has expired","Platnost relace vypršela"
"A letter with further instructions will be sent to your email.","Na váš e-mail bude zaslána zpráva s dalšími instrukcemi."
"We cannot configure the product.","Produkt nelze konfigurovat."
"You used coupon code ""%1"".","Kupón s kódem ""%1"" byl použit."
"You canceled the coupon code.","Kód kupónu byl zrušen."
"We cannot apply the coupon code.","Kód kupónu nelze použít."
"We can't remove the item.","Položku nelze odebrat."
"%1 was updated in your shopping cart.","%1 v nákupním košíku byl upraven."
"We can't update the item right now.","Tuto položku momentálně nelze upravit."
"Something went wrong while saving the page. Please refresh the page and try again.","Něco se při ukládání nepovedlo, prosím aktualizujte stránku a zkuste to znovu."
"We can't update the shopping cart.","Nákupní košík nelze aktualizovat."
"One-page checkout is turned off.","Jednostránková pokladna je vypnuta."
"Guest checkout is disabled.","Pokladna je pro hosty vypnuta."
Checkout,Pokladna
"Page not found.","Stránka nebyla nalezena."
"Something went wrong while processing your order. Please try again later.","Při zpracování objednávky došlo k chybě. Opakujte akci později prosím."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 nerozšiřuje \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Způsob platby"
"Payment Page","Stránka platby"
"We found an invalid request for adding product to quote.","Byl nalezen neplatný požadavek na přidání produktu k nabídce."
"The product does not exist.","Tento produkt neexistuje."
"We don't have some of the products you want.","Některé z požadovaných produktů nejsou dostupné."
"We don't have as many of some products as you want.","Některé z požadovaných produktů nejsou dostupné."
"Quantity was recalculated from %1 to %2","Množství bylo přepočítáno z %1 na %2"
"We adjusted product quantities to fit the required increments.","Počet produktů byl upraven tak, aby odpovídal požadovaným násobkům."
"This quote item does not exist.","Tato požadovaná položka neexistuje."
